episode,avg_detect_streak,avg_lost_streak,lock_count,lock_time_ratio,target_covered_ratio
264,0.160000,1.386000,3,0.070000,0.130000
265,0.010000,0.844000,1,0.020000,0.020000
266,0.656000,1.700000,5,0.200000,0.360000
267,0.056000,0.830000,1,0.022000,0.035000
268,0.268000,1.170000,3,0.076000,0.130000
269,0.494000,1.132000,5,0.150000,0.270000
270,0.056000,0.820000,1,0.022000,0.035000
271,0.076000,1.122000,3,0.054000,0.070000
272,0.224000,0.612000,3,0.080000,0.185000
273,0.080000,0.894000,3,0.058000,0.080000
274,0.028000,1.194000,3,0.058000,0.055000
275,0.102000,0.976000,2,0.050000,0.070000
276,0.228000,0.046000,1,0.066000,0.130000
277,0.104000,1.054000,3,0.064000,0.090000
278,0.240000,1.264000,2,0.092000,0.155000
279,0.130000,1.412000,3,0.066000,0.100000
280,0.056000,0.820000,1,0.022000,0.035000
281,0.186000,1.422000,3,0.072000,0.115000
282,0.084000,1.232000,2,0.046000,0.070000
283,0.204000,1.654000,5,0.096000,0.145000
284,0.304000,1.524000,5,0.124000,0.200000
285,0.134000,1.294000,4,0.080000,0.110000
286,0.108000,1.296000,3,0.070000,0.100000
287,0.278000,1.506000,5,0.110000,0.180000
288,0.298000,1.244000,5,0.104000,0.150000
289,0.174000,1.330000,3,0.066000,0.105000
290,0.192000,1.294000,4,0.080000,0.130000
291,0.174000,1.196000,4,0.076000,0.135000
292,0.244000,1.212000,2,0.068000,0.135000
293,0.182000,1.458000,4,0.086000,0.155000
294,0.278000,1.370000,5,0.140000,0.225000
295,0.252000,1.376000,4,0.096000,0.165000
296,0.226000,1.680000,5,0.128000,0.180000
297,0.130000,1.212000,3,0.066000,0.110000
298,0.098000,1.002000,2,0.048000,0.075000
299,0.166000,1.266000,4,0.092000,0.135000
300,0.144000,1.042000,2,0.056000,0.095000
301,0.198000,1.658000,3,0.082000,0.130000
302,0.186000,1.076000,4,0.082000,0.130000
303,0.220000,1.912000,3,0.070000,0.100000
304,0.312000,1.036000,4,0.108000,0.160000
305,0.198000,0.790000,3,0.096000,0.145000
306,0.160000,1.762000,3,0.068000,0.105000
307,0.086000,1.464000,4,0.064000,0.090000
308,0.060000,1.378000,3,0.062000,0.075000
309,0.104000,2.006000,3,0.070000,0.100000
310,0.152000,1.840000,3,0.060000,0.090000
311,0.156000,1.342000,4,0.086000,0.130000
312,0.238000,1.844000,6,0.142000,0.180000
313,0.084000,1.278000,2,0.058000,0.085000
314,0.172000,1.418000,4,0.082000,0.130000
315,0.158000,1.430000,3,0.064000,0.100000
316,0.488000,1.476000,4,0.122000,0.210000
317,0.174000,1.420000,3,0.066000,0.105000
318,0.072000,0.810000,1,0.024000,0.040000
319,0.062000,1.332000,2,0.040000,0.055000
320,0.270000,1.590000,4,0.104000,0.180000
321,0.062000,1.550000,2,0.034000,0.045000
322,0.244000,1.244000,3,0.090000,0.155000
323,0.186000,0.970000,3,0.068000,0.120000
324,0.326000,1.732000,6,0.134000,0.210000
325,0.110000,1.442000,3,0.060000,0.085000
326,0.234000,0.582000,3,0.080000,0.150000
327,0.134000,0.662000,3,0.064000,0.125000
328,0.270000,1.074000,4,0.100000,0.160000
329,0.108000,1.492000,2,0.048000,0.075000
330,0.128000,0.710000,2,0.046000,0.075000
331,0.240000,1.796000,5,0.104000,0.165000
332,0.114000,1.148000,4,0.086000,0.115000
333,0.308000,0.542000,3,0.086000,0.150000
334,0.148000,1.770000,3,0.062000,0.095000
335,0.122000,1.102000,2,0.052000,0.085000
336,0.132000,0.702000,2,0.052000,0.085000
337,0.100000,1.254000,3,0.064000,0.090000
338,0.366000,1.584000,4,0.112000,0.190000
339,0.216000,1.982000,5,0.104000,0.130000
340,0.056000,1.494000,3,0.048000,0.070000
341,0.274000,1.222000,3,0.082000,0.140000
342,0.298000,0.606000,3,0.094000,0.195000
343,0.128000,0.970000,2,0.046000,0.075000
344,0.278000,1.784000,5,0.138000,0.195000
345,0.368000,1.278000,5,0.132000,0.230000
346,0.262000,0.842000,5,0.112000,0.175000
347,0.228000,1.704000,4,0.092000,0.140000
348,0.120000,1.472000,3,0.062000,0.090000
349,0.120000,1.434000,3,0.064000,0.095000
350,0.248000,1.392000,3,0.072000,0.115000
351,0.228000,1.900000,5,0.122000,0.180000
352,0.396000,2.196000,6,0.168000,0.265000
353,0.336000,1.674000,7,0.158000,0.245000
354,0.290000,2.364000,5,0.122000,0.195000
355,0.100000,0.940000,4,0.082000,0.140000
356,0.372000,1.412000,4,0.108000,0.185000
357,0.072000,0.810000,1,0.024000,0.040000
358,0.144000,1.390000,4,0.088000,0.120000
359,0.206000,1.860000,5,0.120000,0.165000
360,0.288000,2.382000,6,0.136000,0.205000
361,0.152000,1.392000,2,0.054000,0.090000
362,0.260000,1.882000,4,0.104000,0.150000
363,0.144000,1.410000,2,0.048000,0.080000
364,0.286000,1.822000,6,0.146000,0.190000
365,0.108000,1.254000,4,0.090000,0.125000
366,0.166000,1.490000,2,0.050000,0.085000
367,0.080000,1.412000,3,0.056000,0.075000
368,0.148000,1.970000,3,0.062000,0.095000
369,0.184000,1.304000,3,0.076000,0.120000
