episode,avg_reward,avg_r_info,avg_r_track,avg_r_action,avg_r_boundary,avg_r_collision,avg_r_uncertainty,clip_ratio,acquire,keep,lost,unlock,reacquire
124,0.329228,-0.080569,-0.058764,-0.026770,-0.196523,0.000000,0.199052,0.270000,2,6,4,1,0
125,3.382084,0.000000,-0.064199,-0.027958,-0.194706,0.000000,0.217953,0.254000,3,15,12,3,0
126,2.225148,-0.058368,-0.146098,-0.027115,-0.167430,0.000000,0.193886,0.290000,2,11,14,1,1
127,-19.499543,-0.258607,-0.014462,-0.023511,-0.284148,0.000000,0.150203,0.262000,3,35,12,2,0
128,9.252842,-0.095979,0.303033,-0.028318,-0.199118,0.000000,0.175389,0.222000,3,16,14,2,1
129,-14.023651,-0.162464,-0.145994,-0.023972,-0.305649,0.000000,0.226317,0.294000,4,21,12,2,0
130,-1.015950,-0.106489,-0.081149,-0.026021,-0.258615,0.000000,0.190132,0.276000,2,16,9,2,0
131,22.545332,-0.322508,-0.023066,-0.028342,-0.161282,0.000000,0.233172,0.326000,2,10,10,2,0
132,2.447895,-0.032577,0.131326,-0.030481,-0.152815,0.000000,0.166304,0.204000,4,27,24,4,0
133,-10.838170,-0.152484,-0.192844,-0.028206,-0.199474,0.000000,0.210064,0.292000,3,25,13,2,0
134,-3.334270,-0.041261,-0.169002,-0.029153,-0.161238,0.000000,0.166119,0.200000,5,28,23,4,0
135,1.827909,-0.161280,-0.149418,-0.028554,-0.238324,0.000000,0.213465,0.314000,4,19,13,3,0
136,-5.726246,-0.271324,0.033649,-0.030594,-0.116956,-0.002519,0.139294,0.192000,3,26,19,2,1
137,8.626266,-0.122478,-0.092054,-0.028303,-0.140961,0.000000,0.191759,0.310000,2,21,8,2,0
138,-43.170502,-0.114846,-0.292023,-0.026751,-0.290084,0.000000,0.127867,0.174000,4,92,19,3,0
139,20.030073,-0.119413,0.198174,-0.029558,-0.128666,0.000000,0.226621,0.294000,3,25,14,3,0
140,2.205442,-0.058528,-0.089797,-0.031746,-0.139960,0.000000,0.208856,0.282000,3,27,12,2,0
141,-12.553839,-0.031054,-0.082657,-0.025830,-0.323782,0.000000,0.168522,0.276000,2,12,8,2,0
142,2.169680,-0.062710,-0.067818,-0.032431,-0.195433,0.000000,0.179472,0.252000,4,39,13,2,0
143,3.479115,-0.050829,-0.114689,-0.027658,-0.184109,-0.013854,0.199484,0.286000,3,26,14,3,0
144,-2.851432,-0.071192,-0.089498,-0.025990,-0.264030,0.000000,0.149793,0.220000,5,43,26,3,1
145,-18.618131,-0.146981,-0.190240,-0.029745,-0.210378,0.000000,0.174915,0.236000,4,28,18,4,0
146,6.514949,-0.009008,0.139675,-0.030052,-0.207936,0.000000,0.176693,0.226000,4,34,23,4,1
147,-6.531339,-0.106830,0.031916,-0.019401,-0.341560,0.000000,0.189643,0.234000,2,26,12,2,0
148,12.319916,-0.137312,0.017759,-0.028670,-0.204632,0.000000,0.185047,0.276000,4,18,15,3,0
149,13.129914,-0.042358,-0.133802,-0.029253,-0.180904,-0.001991,0.218062,0.296000,3,23,13,3,0
150,17.213141,-0.110289,0.029866,-0.032140,-0.262418,0.000000,0.225222,0.294000,2,15,5,1,0
151,-12.280501,-0.132348,-0.032065,-0.026208,-0.448861,0.000000,0.223023,0.264000,1,2,5,1,0
152,13.265203,-0.277422,-0.043804,-0.028437,-0.133551,0.000000,0.177312,0.282000,4,28,13,2,0
153,-5.985523,-0.000000,0.240472,-0.024393,-0.346020,0.000000,0.186905,0.232000,2,20,10,2,0
154,-29.765162,-0.097087,0.028523,-0.024039,-0.371152,0.000000,0.141110,0.266000,3,40,13,2,0
155,-11.615799,-0.211380,-0.101330,-0.026170,-0.213936,0.000000,0.173738,0.262000,2,10,9,2,0
