episode,avg_detect_streak,avg_lost_streak,lock_count,lock_time_ratio,target_covered_ratio,avg_r_info,avg_r_uncertainty,avg_r_track,avg_r_action,avg_r_collision,avg_r_out,avg_total_raw
69,0.432000,1.020000,2,0.070000,0.135000,0.000000,0.001372,-0.125147,-0.025151,0.000000,-0.803187,-0.952113
70,0.056000,0.880000,1,0.022000,0.035000,-0.000000,0.001390,-0.015099,-0.022874,0.000000,-0.916718,-0.953302
71,0.366000,0.670000,2,0.068000,0.130000,0.000000,0.001033,-0.024703,-0.024829,0.000000,-0.526560,-0.575059
72,0.392000,0.940000,4,0.090000,0.165000,-0.000000,0.000651,-0.116506,-0.028263,0.000000,-0.585691,-0.729809
73,0.074000,1.060000,2,0.034000,0.045000,0.000000,0.001382,-0.026611,-0.028166,0.000000,-0.301965,-0.355360
74,0.114000,0.870000,2,0.048000,0.080000,-0.000000,0.001632,-0.027663,-0.025687,0.000000,-0.362522,-0.414239
75,0.202000,0.830000,4,0.086000,0.135000,-0.000000,0.000843,-0.080805,-0.026819,0.000000,-0.423633,-0.530413
76,0.784000,0.858000,3,0.116000,0.275000,-0.000000,0.001486,-0.072573,-0.025915,0.000000,-0.495813,-0.592815
77,0.134000,1.012000,3,0.052000,0.085000,0.000000,0.002141,-0.061272,-0.027553,-0.001227,-0.546681,-0.634593
78,0.752000,0.778000,5,0.140000,0.230000,-0.038567,0.001794,-0.087786,-0.028192,0.000000,-0.541374,-0.694125
79,0.070000,1.022000,2,0.040000,0.055000,0.000000,0.001193,-0.044193,-0.030885,0.000000,-0.263656,-0.337541
80,0.132000,0.830000,1,0.030000,0.055000,0.000000,0.001485,-0.017937,-0.028230,0.000000,-0.405752,-0.450434
81,0.352000,1.000000,3,0.074000,0.145000,0.000000,0.001470,-0.061980,-0.027223,0.000000,-0.419502,-0.507234
82,0.130000,0.822000,4,0.062000,0.090000,0.000000,0.000403,-0.026784,-0.028044,0.000000,-0.418392,-0.472817
83,0.268000,0.756000,5,0.118000,0.195000,0.000000,0.000671,-0.076236,-0.028770,0.000000,-0.543167,-0.647502
84,0.626000,1.082000,4,0.126000,0.230000,-0.000000,0.000988,-0.225033,-0.028251,0.000000,-0.381764,-0.634059
85,0.412000,0.826000,5,0.104000,0.190000,0.000000,0.001041,-0.031947,-0.030325,0.000000,-0.293462,-0.354693
86,0.100000,0.902000,3,0.048000,0.085000,0.000000,0.001142,-0.024838,-0.029401,0.000000,-0.263111,-0.316209
87,0.530000,0.914000,3,0.092000,0.165000,0.000000,0.001214,-0.136048,-0.030174,0.000000,-0.256697,-0.421705
88,0.060000,1.480000,3,0.042000,0.045000,0.000000,0.000821,-0.017749,-0.030385,0.000000,-0.236443,-0.283756
89,0.126000,0.866000,2,0.048000,0.075000,-0.000000,0.001419,-0.017289,-0.028884,0.000000,-0.373079,-0.417832
90,0.414000,1.090000,2,0.068000,0.165000,0.000000,0.000957,-0.014035,-0.031663,-0.006824,-0.236265,-0.287830
91,0.042000,0.890000,2,0.024000,0.040000,-0.000000,0.001326,-0.008334,-0.028273,0.000000,-0.374523,-0.409804
92,0.076000,0.900000,2,0.030000,0.080000,-0.000000,0.001306,-0.016506,-0.031622,0.000000,-0.278193,-0.325015
93,0.462000,0.914000,3,0.096000,0.175000,-0.000000,0.001103,-0.062439,-0.029353,0.000000,-0.370213,-0.460901
94,0.070000,0.994000,2,0.044000,0.060000,0.000000,0.001313,-0.040762,-0.029242,0.000000,-0.341354,-0.410044
95,0.816000,0.832000,4,0.128000,0.255000,-0.000000,0.001129,-0.091097,-0.025946,0.000000,-0.523711,-0.639624
96,0.172000,1.080000,3,0.054000,0.095000,-0.000000,0.001690,-0.067650,-0.026480,0.000000,-0.495254,-0.587693
97,0.508000,0.972000,4,0.102000,0.190000,0.000000,0.001817,-0.147054,-0.027682,0.000000,-0.546148,-0.719068
98,0.068000,0.892000,2,0.034000,0.050000,0.000000,0.001569,-0.043181,-0.028228,0.000000,-0.444757,-0.514596
99,0.660000,0.580000,2,0.086000,0.175000,0.000000,0.000469,-0.024453,-0.031110,0.000000,-0.408130,-0.463225
100,0.708000,0.722000,4,0.132000,0.195000,0.000000,0.000971,-0.049261,-0.027456,0.000000,-0.605046,-0.680792
101,0.056000,0.880000,1,0.022000,0.035000,0.000000,0.000615,-0.015810,-0.025179,0.000000,-0.661111,-0.701484
102,0.088000,1.650000,3,0.050000,0.070000,0.000000,0.000639,-0.061551,-0.026790,0.000000,-0.632052,-0.719754
103,0.368000,1.300000,6,0.110000,0.265000,0.000000,0.000933,-0.098402,-0.027494,0.000000,-0.395869,-0.520832
104,0.342000,0.680000,2,0.066000,0.125000,-0.000000,0.000805,-0.023316,-0.019927,0.000000,-0.603867,-0.646305
105,0.072000,0.870000,1,0.024000,0.040000,-0.000000,0.001502,-0.013029,-0.020717,0.000000,-0.451111,-0.483355
106,0.260000,0.928000,4,0.092000,0.135000,0.000000,0.000587,-0.081103,-0.023365,0.000000,-0.410951,-0.514833
107,0.168000,0.732000,2,0.058000,0.090000,0.000000,0.000773,-0.043955,-0.024390,0.000000,-0.466376,-0.533949
108,0.222000,0.730000,2,0.056000,0.100000,0.000000,0.000810,-0.027720,-0.023825,0.000000,-0.389189,-0.439924
109,0.300000,0.674000,4,0.090000,0.135000,0.000000,0.000612,-0.091835,-0.022562,0.000000,-0.485418,-0.599202
110,0.680000,0.648000,3,0.104000,0.210000,0.000000,0.000520,-0.033860,-0.026519,0.000000,-0.489530,-0.549389
111,0.468000,1.444000,4,0.112000,0.190000,-0.032189,0.000475,-0.045139,-0.025604,0.000000,-0.744594,-0.847051
112,0.356000,1.400000,3,0.076000,0.130000,0.000000,0.001558,-0.041673,-0.026262,-0.007538,-0.417749,-0.491664
113,1.058000,0.670000,2,0.082000,0.175000,0.000000,0.000511,-0.032844,-0.024944,0.000000,-0.487392,-0.544670
114,0.344000,1.434000,2,0.080000,0.140000,-0.000000,0.001338,-0.038588,-0.025645,0.000000,-0.466683,-0.529578
115,0.314000,1.460000,3,0.074000,0.125000,-0.000000,0.000713,-0.027763,-0.023913,0.000000,-0.527845,-0.578809
116,0.202000,1.580000,2,0.050000,0.085000,0.000000,0.000838,-0.018913,-0.024362,0.000000,-0.533249,-0.575686
117,0.502000,1.358000,3,0.094000,0.180000,-0.000000,0.000355,-0.030201,-0.024685,0.000000,-0.494225,-0.548755
118,0.162000,1.514000,3,0.066000,0.095000,-0.000000,0.000784,-0.014968,-0.024049,0.000000,-0.533452,-0.571684
119,0.256000,1.484000,4,0.086000,0.135000,0.000000,0.000256,-0.059404,-0.024077,0.000000,-0.529117,-0.612341
120,0.524000,0.650000,2,0.092000,0.190000,0.000000,0.000263,-0.032732,-0.022048,0.000000,-0.599557,-0.654074
121,0.194000,0.800000,4,0.070000,0.135000,0.000000,0.000378,-0.039325,-0.021443,0.000000,-0.578319,-0.638710
122,0.240000,0.712000,2,0.060000,0.105000,0.000000,0.000344,-0.035831,-0.020142,0.000000,-0.545413,-0.601042
123,0.058000,0.856000,1,0.028000,0.040000,0.000000,0.000458,-0.012448,-0.023733,-0.007683,-0.528713,-0.572119
124,0.362000,0.680000,3,0.072000,0.140000,0.000000,0.000360,-0.033182,-0.021328,0.000000,-0.582850,-0.637000
125,0.446000,0.648000,2,0.082000,0.160000,0.000000,0.000338,-0.049661,-0.021530,0.000000,-0.587267,-0.658120
126,0.056000,0.880000,1,0.022000,0.035000,0.000000,0.000328,-0.010429,-0.020724,0.000000,-0.500398,-0.531223
127,0.508000,0.656000,2,0.082000,0.175000,0.000000,0.000350,-0.033773,-0.021134,0.000000,-0.566706,-0.621264
128,0.074000,0.836000,1,0.030000,0.045000,0.000000,0.000430,-0.022594,-0.020944,0.000000,-0.513256,-0.556364
129,0.220000,0.742000,3,0.070000,0.120000,0.000000,0.000299,-0.044598,-0.021071,0.000000,-0.486619,-0.551990
130,0.256000,0.740000,3,0.068000,0.130000,0.000000,0.000298,-0.023282,-0.021918,0.000000,-0.473146,-0.518049
131,0.068000,0.830000,2,0.036000,0.050000,0.000000,0.001074,-0.019008,-0.024742,0.000000,-0.315638,-0.358315
132,0.164000,0.762000,2,0.048000,0.075000,-0.000000,0.000474,-0.017021,-0.020313,0.000000,-0.471841,-0.508702
133,0.132000,0.830000,1,0.030000,0.055000,-0.000000,0.000384,-0.011569,-0.019704,0.000000,-0.541258,-0.572147
134,0.524000,0.642000,2,0.090000,0.185000,0.000000,0.000413,-0.017526,-0.021406,0.000000,-0.560218,-0.598736
135,0.404000,0.710000,4,0.092000,0.205000,0.000000,0.000355,-0.022803,-0.022187,0.000000,-0.435990,-0.480625
136,1.056000,0.630000,1,0.072000,0.160000,-0.000000,0.000378,-0.008910,-0.025820,0.000000,-0.579228,-0.613579
137,0.432000,0.666000,1,0.066000,0.135000,-0.000000,0.000317,-0.034602,-0.025277,0.000000,-0.531930,-0.591492
138,0.490000,0.642000,2,0.072000,0.155000,-0.000000,0.000325,-0.003481,-0.026475,0.000000,-0.545118,-0.574749
139,0.202000,0.810000,2,0.042000,0.085000,-0.000000,0.000793,-0.007729,-0.023900,0.000000,-0.482233,-0.513069
140,0.180000,0.702000,3,0.064000,0.100000,0.000000,0.001286,-0.062450,-0.025047,0.000000,-0.589367,-0.675578
141,0.428000,0.670000,3,0.084000,0.210000,-0.000000,0.000390,-0.018608,-0.025322,0.000000,-0.556919,-0.600459
142,0.436000,0.648000,2,0.082000,0.170000,-0.000000,0.000302,-0.010311,-0.024960,0.000000,-0.629382,-0.664351
143,1.112000,0.630000,2,0.086000,0.195000,0.000000,0.000318,-0.032347,-0.025181,0.000000,-0.663485,-0.720695
144,0.178000,0.750000,3,0.056000,0.100000,0.000000,0.001613,-0.094364,-0.027249,0.000000,-0.694646,-0.814646
145,0.202000,0.820000,2,0.042000,0.085000,-0.000000,0.001295,-0.013975,-0.022135,0.000000,-0.665587,-0.700401
