episode,avg_detect_streak,avg_lost_streak,lock_count,lock_time_ratio,target_covered_ratio,avg_r_info,avg_r_uncertainty,avg_r_track,avg_r_action,avg_r_collision,avg_r_out,avg_total_raw
240,0.060000,0.520000,2,0.036000,0.050000,-0.022345,0.004799,0.107281,-0.034042,-0.007010,-0.189060,-0.140376
241,0.272000,2.070000,3,0.078000,0.135000,-0.095741,0.003855,-0.016849,-0.036315,0.000000,-0.220168,-0.365218
242,0.594000,1.850000,7,0.158000,0.275000,-0.220487,0.003211,-0.065587,-0.037938,0.000000,-0.167829,-0.488631
243,0.042000,0.900000,1,0.020000,0.030000,-0.093761,0.003428,-0.026081,-0.036209,0.000000,-0.195875,-0.348498
244,0.302000,1.160000,3,0.076000,0.130000,-0.065296,0.004492,-0.011204,-0.038667,0.000000,-0.223179,-0.333855
245,0.120000,1.450000,3,0.056000,0.080000,-0.044818,0.002877,0.113442,-0.040366,0.000000,-0.198314,-0.167180
246,0.370000,2.300000,5,0.112000,0.180000,-0.087644,0.003559,0.043619,-0.037029,0.000000,-0.314100,-0.391595
247,1.286000,1.720000,4,0.128000,0.280000,-0.138155,0.002670,-0.014458,-0.034760,0.000000,-0.307486,-0.492188
248,0.486000,1.820000,5,0.128000,0.205000,-0.121216,0.002417,-0.052863,-0.035745,0.000000,-0.414010,-0.621417
249,0.666000,1.570000,4,0.114000,0.185000,-0.027726,0.001801,-0.054474,-0.037212,0.000000,-0.207483,-0.325094
250,0.846000,2.690000,7,0.194000,0.310000,-0.169176,0.005062,0.006046,-0.039480,0.000000,-0.136039,-0.333587
251,0.734000,1.400000,3,0.104000,0.220000,-0.158917,0.003104,-0.022910,-0.032721,0.000000,-0.310891,-0.522335
252,0.062000,0.320000,2,0.036000,0.040000,-0.180025,0.005782,0.007990,-0.032094,0.000000,-0.485412,-0.683759
253,0.336000,1.530000,4,0.092000,0.150000,-0.000044,0.001260,-0.092924,-0.029487,0.000000,-0.532939,-0.654135
254,0.258000,2.400000,5,0.106000,0.165000,0.000000,0.002278,-0.040515,-0.036286,0.000000,-0.446502,-0.521024
255,0.242000,2.000000,5,0.100000,0.150000,-0.085571,0.004506,-0.025374,-0.030484,0.000000,-0.262799,-0.399722
256,0.244000,1.050000,3,0.074000,0.125000,-0.093236,0.004071,-0.004348,-0.028738,0.000000,-0.383578,-0.505829
257,0.152000,1.660000,3,0.060000,0.090000,-0.114311,0.001552,0.008575,-0.033658,0.000000,-0.448027,-0.585869
258,0.506000,0.672000,3,0.122000,0.225000,-0.123579,0.001875,-0.128069,-0.034530,0.000000,-0.403704,-0.688008
259,0.254000,1.370000,6,0.108000,0.170000,-0.024175,0.003835,-0.033423,-0.033028,0.000000,-0.363257,-0.450048
260,0.194000,1.800000,4,0.080000,0.090000,-0.077751,0.005605,-0.004265,-0.032280,0.000000,-0.164498,-0.273189
261,0.322000,2.490000,6,0.124000,0.165000,-0.184814,0.003446,-0.036085,-0.038855,-0.012956,-0.134044,-0.403307
262,0.320000,2.690000,6,0.126000,0.165000,-0.052180,0.001823,-0.052186,-0.037448,0.000000,-0.157986,-0.297978
263,0.340000,3.050000,5,0.108000,0.170000,0.000000,0.000672,-0.019152,-0.027520,0.000000,-0.195533,-0.241534
264,0.304000,1.350000,5,0.108000,0.180000,-0.000000,0.003274,-0.048280,-0.038050,0.000000,-0.155691,-0.238747
265,0.500000,1.750000,4,0.108000,0.190000,-0.011020,0.003358,-0.058523,-0.037258,0.000000,-0.242935,-0.346378
