episode,avg_detect_streak,avg_lost_streak,lock_count,lock_time_ratio,target_covered_ratio
214,0.154000,1.666000,4,0.088000,0.110000
215,0.360000,1.400000,3,0.078000,0.180000
216,0.040000,0.802000,1,0.026000,0.040000
217,0.182000,1.584000,3,0.072000,0.130000
218,0.254000,2.004000,5,0.118000,0.205000
219,0.062000,1.574000,2,0.044000,0.055000
220,0.282000,1.742000,5,0.112000,0.175000
221,0.794000,2.358000,4,0.218000,0.400000
222,0.360000,2.130000,3,0.086000,0.155000
223,0.628000,1.706000,5,0.188000,0.355000
224,0.134000,1.456000,3,0.076000,0.115000
225,0.200000,1.440000,2,0.054000,0.095000
226,0.130000,1.826000,3,0.074000,0.110000
227,0.422000,2.108000,5,0.176000,0.280000
228,0.362000,2.308000,5,0.126000,0.200000
229,0.276000,2.056000,4,0.114000,0.190000
230,0.076000,1.284000,2,0.046000,0.065000
231,0.264000,1.800000,4,0.092000,0.125000
232,0.140000,2.224000,3,0.072000,0.110000
233,0.112000,1.346000,3,0.072000,0.105000
234,0.304000,2.534000,7,0.136000,0.210000
235,0.164000,2.204000,4,0.086000,0.125000
236,0.048000,1.532000,2,0.038000,0.050000
237,0.120000,1.600000,2,0.044000,0.070000
238,0.678000,2.142000,5,0.172000,0.300000
239,0.158000,2.102000,3,0.068000,0.105000
240,0.178000,2.606000,5,0.106000,0.150000
241,0.120000,1.600000,2,0.044000,0.070000
242,0.550000,1.798000,5,0.152000,0.260000
243,0.054000,1.532000,2,0.040000,0.055000
244,0.180000,2.092000,5,0.088000,0.135000
245,0.188000,1.402000,3,0.072000,0.115000
246,0.138000,1.442000,3,0.058000,0.100000
247,0.092000,2.076000,4,0.088000,0.090000
248,0.368000,0.844000,4,0.114000,0.195000
249,0.026000,0.822000,1,0.022000,0.030000
250,0.240000,1.730000,6,0.136000,0.195000
251,0.212000,2.104000,3,0.086000,0.145000
252,0.142000,0.672000,2,0.056000,0.095000
253,0.298000,2.082000,5,0.116000,0.185000
254,0.108000,1.452000,3,0.060000,0.085000
255,0.126000,2.144000,3,0.070000,0.105000
256,1.340000,1.096000,3,0.138000,0.270000
